カード名,発行会社,カード区分,国際ブランド,年会費（税込）,年会費条件,月々の推奨利用額,還元率_基本（%）,ボーナス還元率（%）,還元対象カテゴリ,還元上限（月額）,ポイントプログラム名,ポイント換算（円→P）,旅行保険_有無,海外旅行保険_付帯種別,海外旅行保険_最高補償額（万円）,ショッピング保険_年間補償額（万円）,電子マネー対応,タッチ決済対応,スマホ決済対応,空港ラウンジ,コンシェルジュ,ETC_可否,ETC_発行手数料,ETC_年会費,家族カード可否,即時発行,バーチャルカード対応,番号レスカード,申込対象,入会特典ポイント,入会特典有効期限,公式キャンペーン,画像ファイル名,メリット,デメリット
dカード,dカード,一般,"American Express/JCB/MasterCard/VISA",永年無料,条件なし,3万円～5万円,1.0,0.2,指定なし,"10,000円",dポイント,100円→1P,あり,自動付帯,1000,100,WAON/iD,あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,可,無料,550円,なし,なし,あり,あり,学生可,"3,000P",2025-12-05,入会+利用でポイント進呈,default.png,即時発行・高還元,家族カードなし
セゾンカード,セゾン,一般,"American Express/JCB/MasterCard/VISA",永年無料,条件なし,3万円～5万円,1.0,1.0,指定なし,上限なし,永久不滅ポイント,100円→2P,なし,なし,0,100,"QUICPay/交通系/楽天Edy",なし,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,不可,"1,100円",550円,あり,あり,なし,なし,学生可,,,default.png,コンビニ優遇・タッチ決済・年会費無料,家族カードなし
エポスカードゴールド,エポス,ゴールド,"American Express/JCB/MasterCard/VISA","11,000円",条件付,5万円～,1.2,0.2,指定なし,"5,000円",エポスポイント,100円→1P,なし,なし,1000,100,WAON/iD,あり,"Apple Pay",国内主要空港,なし,可,"1,100円",550円,あり,なし,なし,あり,20歳以上,,,,default.png,ラウンジ特典・即時発行・高還元,家族カードなし
三菱UFJニコスカード,三菱UFJニコス,一般,"American Express/Diners/JCB/VISA",永年無料,条件なし,～1万円,1.0,0.5,指定なし,"10,000円",永久不滅ポイント,100円→1P,なし,利用付帯,3000,0,"WAON/交通系/楽天Edy",なし,"Google Pay/おサイフケータイ",なし,なし,不可,無料,無料,あり,なし,あり,なし,高校生を除く18歳以上,,,,default.png,コンビニ優遇・タッチ決済・マイル移行・即時発行・年会費無料,旅行保険弱め
セゾンカードプラチナ,セゾン,プラチナ,Diners/VISA,"33,000円",条件付,3万円～5万円,1.5,0.2,指定なし,上限なし,永久不滅ポイント,100円→1P,あり,なし,5000,300,"QUICPay/WAON/iD/交通系/楽天Edy",なし,"Apple Pay/Google Pay",国内+海外ラウンジ,あり,可,"1,100円",無料,あり,なし,なし,なし,20歳以上,"3,000P",2025-12-16,入会+利用でポイント進呈,default.png,マイル移行・高還元,年会費が高い・旅行保険弱め
三井住友カードゴールド,三井住友カード,ゴールド,Diners/JCB,"11,000円",条件付,～1万円,1.2,0.2,指定なし,上限なし,Vポイント,100円→1P,あり,利用付帯,3000,100,WAON/iD,なし,"Apple Pay/Google Pay/おサイフケータイ",国内主要空港,なし,可,無料,無料,なし,なし,なし,あり,高校生を除く18歳以上,,,,default.png,コンビニ優遇・タッチ決済・マイル移行・高還元,ETC有料
au PAY カード,au PAY カード,一般,"American Express/MasterCard/VISA",永年無料,条件なし,5万円～,1.0,0.2,指定なし,上限なし,ポンタポイント,100円→1P,なし,なし,3000,0,"交通系/楽天Edy",なし,"Apple Pay",なし,なし,可,"1,100円",無料,あり,あり,あり,なし,20歳以上,"3,000P",2025-10-17,入会+利用でポイント進呈,default.png,コンビニ優遇・ラウンジ特典・年会費無料・高還元,旅行保険弱め
アメリカン・エキスプレスカードプラチナ,アメリカン・エキスプレス,プラチナ,American Express,"33,000円",条件付,1万円～3万円,1.5,0.2,指定なし,"5,000円",アメックスポイント,100円→2P,あり,自動付帯,0,0,"QUICPay/iD/楽天Edy",なし,おサイフケータイ,国内+海外ラウンジ,あり,可,"1,100円",550円,なし,あり,あり,なし,学生可,"5,000P",2025-12-20,入会+利用でポイント進呈,default.png,コンビニ優遇・タッチ決済・マイル移行,家族カードなし
オリコカードゴールド,オリコ,ゴールド,"JCB/MasterCard/VISA","11,000円",条件付,1万円～3万円,1.2,0.2,指定なし,"10,000円",永久不滅ポイント,100円→1P,あり,なし,1000,100,"QUICPay/WAON/iD/交通系/楽天Edy",なし,"Apple Pay",国内主要空港,なし,可,無料,550円,あり,あり,あり,なし,高校生を除く18歳以上,,,,default.png,コンビニ優遇・マイル移行・年会費無料・高還元,家族カードなし・海外手数料高め
ビューカードプラチナ,ビューカード,プラチナ,Diners/VISA,"33,000円",条件付,3万円～5万円,1.5,0.5,電車や駅での買い物,上限なし,永久不滅ポイント,100円→1P,あり,自動付帯,5000,300,"iD/交通系/楽天Edy",あり,"Apple Pay/Google Pay/おサイフケータイ",国内+海外ラウンジ,あり,不可,無料,550円,あり,なし,なし,あり,20歳以上,,,,default.png,コンビニ優遇・マイル移行・高還元,年会費が高い
楽天プレミアムカード,楽天カード,プラチナ,JCB/MasterCard,"33,000円",条件付,～1万円,1.5,1.0,指定なし,"10,000円",楽天ポイント,100円→1P,あり,利用付帯,3000,0,"WAON/iD/交通系/楽天Edy",なし,"Apple Pay/Google Pay",国内+海外ラウンジ,あり,不可,"1,100円",無料,あり,なし,あり,あり,学生可,"7,000P",2025-10-14,入会+利用でポイント進呈,default.png,タッチ決済・マイル移行・年会費無料・高還元,ETC有料・年会費が高い
イオンカードゴールド,イオンカード,ゴールド,"American Express/Diners/JCB/VISA","11,000円",条件付,～1万円,1.2,0.2,指定なし,"5,000円",ワオンポイント,100円→1P,あり,自動付帯,1000,0,"QUICPay/WAON/iD/交通系",なし,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,550円,なし,あり,なし,なし,高校生を除く18歳以上,"15,000P",2025-11-22,入会+利用でポイント進呈,default.png,コンビニ優遇・ネット通販優遇・マイル移行・ラウンジ特典,家族カードなし
au PAY カードゴールド,au PAY カード,ゴールド,"American Express/MasterCard","11,000円",条件付,5万円～,1.2,1.0,指定なし,"10,000円",Pontaポイント,100円→1P,なし,自動付帯,5000,100,"QUICPay/WAON/交通系",なし,"Apple Pay",国内主要空港,なし,可,無料,無料,あり,あり,あり,なし,高校生を除く18歳以上,"15,000P",2025-11-16,入会+利用でポイント進呈,default.png,ネット通販優遇・ラウンジ特典,ETC有料・年会費が高い
JCBカード,JCB,一般,"American Express/Diners/MasterCard",永年無料,条件なし,3万円～5万円,1.0,0.5,指定なし,"5,000円",オキドキポイント,100円→1P,なし,なし,0,100,"QUICPay/交通系/楽天Edy",あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,不可,無料,550円,なし,なし,あり,あり,高校生を除く18歳以上,"10,000P",2026-01-14,入会+利用でポイント進呈,default.png,コンビニ優遇・ネット通販優遇・マイル移行・即時発行,家族カードなし
ビューカードゴールド,ビューカード,ゴールド,"American Express/VISA","11,000円",条件付,5万円～,1.2,0.0,電車や駅での買い物,"5,000円",JREポイント,100円→1P,なし,なし,3000,100,"QUICPay/iD/交通系/楽天Edy",なし,"Google Pay",国内主要空港,なし,可,"1,100円",550円,なし,あり,あり,あり,高校生を除く18歳以上,"3,000P",2025-12-02,入会+利用でポイント進呈,default.png,タッチ決済・ネット通販優遇,家族カードなし・海外手数料高め
オリコカードプラチナ,オリコ,プラチナ,"American Express/VISA","33,000円",条件付,5万円～,1.5,0.2,指定なし,"5,000円",オリコポイント,100円→1P,なし,利用付帯,1000,100,"QUICPay/iD",あり,"Google Pay",国内+海外ラウンジ,あり,不可,無料,550円,あり,なし,あり,なし,高校生を除く18歳以上,"15,000P",2026-02-10,入会+利用でポイント進呈,default.png,"コンビニrb優遇・即時発行・年会費無料",旅行保険弱め・海外手数料高め
JCB カード W,JCB,一般,JCB,永年無料,条件なし,3万円～5万円,1.0,0.5,指定なし,上限なし,OkiDokiポイント,100円→1P,あり,利用付帯,2000,100,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,あり,18歳以上39歳以下,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,高還元・年会費無料,申込39歳まで
三井住友カード（NL）,三井住友カード,一般,VISA/MasterCard,永年無料,条件なし,～1万円,0.5,6.5,対象のコンビニ・飲食店,上限なし,Vポイント,200円→1P,あり,利用付帯,2000,0,WAON/iD,あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,あり,あり,なし,あり,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,コンビニ高還元・番号レス,基本還元率低め
リクルートカード,リクルート,一般,"VISA/MasterCard/JCB",永年無料,条件なし,3万円～5万円,1.2,0.0,指定なし,上限なし,リクルートポイント,100円→1.2P,あり,利用付帯,2000,200,"QUICPay/楽天Edy/モバイルSuica",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,常時1.2%高還元・旅行保険,ポイント使い道限定
PayPayカード,PayPayカード,一般,"VISA/MasterCard/JCB",永年無料,条件なし,3万円～5万円,1.0,0.0,指定なし,上限なし,PayPayポイント,100円→1P,なし,なし,0,0,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,あり,あり,あり,あり,高校生を除く18歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,即時発行・番号レス,旅行保険なし
楽天カード,楽天カード,一般,"VISA/MasterCard/JCB/American Express",永年無料,条件なし,3万円～5万円,1.0,1.0,楽天経済圏での消費に高還元,上限なし,楽天ポイント,100円→1P,あり,利用付帯,2000,0,"楽天Edy/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,あり,なし,なし,なし,高校生を除く18歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,楽天経済圏で高還元,ETC年会費有料
アメリカン・エキスプレス・ゴールド・カード,アメリカン・エキスプレス,ゴールド,American Express,"31,900円",条件なし,5万円～,1.0,0.0,指定なし,上限なし,アメックスポイント,100円→1P,あり,利用付帯,5000,500,QUICPay,あり,"Apple Pay",国内+海外ラウンジ,あり,可,無料,無料,あり,なし,なし,なし,20歳以上,"10,000P",2025-12-31,入会+利用でポイント進呈,default.png,高いステータス・ラウンジ,年会費が高い
Marriott Bonvoy アメリカン・エキスプレス・プレミアム・カード,アメリカン・エキスプレス,プラチナ,American Express,"49,500円",条件なし,5万円～,1.0,1.0,Marriott Bonvoy参加ホテル,上限なし,Marriott Bonvoyポイント,100円→3P,あり,利用付帯,5000,500,QUICPay,あり,"Apple Pay",国内+海外ラウンジ,あり,可,無料,無料,あり,なし,なし,なし,20歳以上,"15,000P",2025-12-31,入会+利用でポイント進呈,default.png,ホテル特典・マイル高還元,年会費が高い
楽天カードゴールド,楽天カード,ゴールド,"VISA/MasterCard/JCB","2,200円",条件なし,3万円～5万円,1.0,1.0,楽天経済圏での消費に高還元,上限なし,楽天ポイント,100円→1P,あり,利用付帯,2000,0,"楽天Edy/QUICPay",あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,550円,あり,なし,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,楽天経済圏・ラウンジ年2回,ラウンジ利用制限あり
JALカード Suica,JALカード/ビューカード,一般,JCB,"2,200円",条件なし,3万円～5万円,0.5,0.5,JAL特約店,上限なし,"JALマイル/JRE POINT",100円→0.5マイル,あり,自動付帯,1000,100,"交通系/QUICPay",あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,Suicaチャージでマイル,基本還元率低め
ANA To Me CARD PASMO JCB,JCB/東京メトロ,一般,JCB,"2,200円",条件付,3万円～5万円,0.5,0.5,ANA/メトロ,上限なし,"OkiDokiポイント/メトロポイント",100円→0.5マイル,あり,自動付帯,1000,100,"交通系/QUICPay",あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,メトロ乗車でポイント,基本還元率低め
三菱UFJカード,三菱UFJニコス,一般,"VISA/MasterCard/JCB/American Express",永年無料,条件付,3万円～5万円,0.5,6.5,対象のコンビニ・飲食店,上限なし,グローバルポイント,100円→1P,あり,利用付帯,2000,100,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,"1,100円",無料,あり,あり,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,コンビニ高還元,ETC発行手数料
みずほマイレージクラブカード,みずほ銀行/クレディセゾン,一般,"VISA/MasterCard/JCB/American Express",永年無料,条件なし,3万円～5万円,0.5,0.0,指定なし,上限なし,永久不滅ポイント,100円→1P,なし,なし,0,0,"QUICPay/iD",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,銀行連携・年会費無料,旅行保険なし
Oliveフレキシブルペイ（一般）,三井住友カード,一般,VISA,永年無料,条件なし,～1万円,0.5,6.5,対象のコンビニ・飲食店,上限なし,Vポイント,200円→1P,あり,利用付帯,2000,0,iD,あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,なし,あり,あり,あり,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,コンビニ高還元・番号レス,家族カードなし
横浜バンクカード,横浜銀行/三井住友カード,一般,VISA/MasterCard,永年無料,条件なし,3万円～5万円,0.5,0.5,指定なし,上限なし,Vポイント,200円→1P,なし,なし,0,0,"iD/WAON",あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,あり,なし,なし,なし,高校生を除く18歳以上,,,,default.png,銀行連携・年会費無料,旅行保険なし
ちばぎんスーパーカード,千葉銀行/JCB,一般,JCB,"1,375円",条件付,3万円～5万円,0.5,0.0,指定なし,上限なし,Oki Dokiポイント,1000円→1P,あり,利用付帯,3000,0,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,"18歳以上（千葉銀行営業地域内）",,,,default.png,銀行連携・旅行保険,年会費条件あり
イオンカードセレクト,イオンフィナンシャルサービス,一般,"VISA/MasterCard/JCB",永年無料,条件なし,3万円～5万円,0.5,0.5,イオングループ,上限なし,WAON POINT,200円→1P,なし,なし,0,50,"WAON/交通系",あり,"Apple Pay/iD/AEON Pay",なし,なし,可,無料,無料,あり,あり,あり,あり,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,銀行連携・WAONオートチャージ,旅行保険なし
エポスカード,エポスカード,一般,VISA,永年無料,条件なし,3万円～5万円,0.5,0.0,指定なし,上限なし,エポスポイント,200円→1P,あり,自動付帯,1000,0,"楽天Edy/モバイルSuica/QUICPay",あり,"Apple Pay/Google Pay/楽天ペイ",なし,なし,可,無料,550円,あり,あり,あり,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,海外旅行保険・優待,ETC年会費
セゾンパール・アメリカン・エキスプレス・カード,クレディセゾン,一般,American Express,"1,100円",条件付,～1万円,0.5,1.5,QUICPay,"上限あり（30万円/年）",永久不滅ポイント,1000円→1P,なし,なし,0,0,"iD/QUICPay/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,あり,あり,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,QUICPay高還元・即時発行,旅行保険なし
dカード GOLD,dカード,ゴールド,VISA/MasterCard,"11,000円",条件なし,5万円～,1.0,9.0,ドコモ利用料金,上限なし,dポイント,100円→1P,あり,自動付帯,10000,300,iD,あり,"Apple Pay/Google Pay/おサイフケータイ",国内主要空港,なし,可,無料,無料,あり,なし,あり,あり,20歳以上,"10,000P",2025-12-31,入会+利用でポイント進呈,default.png,ドコモ料金10%還元・ケータイ補償,年会費が高い
JCB カード W plus L,JCB,一般,JCB,永年無料,条件なし,3万円～5万円,1.0,0.5,指定なし,上限なし,OkiDokiポイント,1000円→2P,あり,利用付帯,2000,100,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,あり,18歳以上39歳以下,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,高還元・女性向け特典,申込39歳まで
ライフカード,ライフカード,一般,"VISA/MasterCard/JCB",永年無料,条件なし,3万円～5万円,0.5,1.0,誕生月,上限なし,LIFEサンクスポイント,1000円→1P,あり,自動付帯,2000,100,"iD/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,誕生月ポイント3倍,基本還元率低め
Orico Card THE POINT,オリコ,一般,MasterCard/JCB,永年無料,条件なし,3万円～5万円,1.0,1.0,入会後半年,上限なし,オリコポイント,100円→1P,なし,なし,0,0,"QUICPay/iD",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,常時1.0%還元・入会後半年2.0%,旅行保険なし
Amazon Mastercard,三井住友カード,一般,MasterCard,永年無料,条件なし,3万円～5万円,1.0,1.0,"Amazon(プライム会員)",上限なし,Amazonポイント,100円→1P,あり,利用付帯,2000,200,iD,あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,あり,あり,なし,あり,高校生を除く18歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,Amazon・コンビニ高還元,ETC年会費
アメリカン・エキスプレス・グリーン・カード,アメリカン・エキスプレス,一般,American Express,"13,200円",条件なし,3万円～5万円,1.0,0.0,指定なし,上限なし,アメックスポイント,100円→1P,あり,利用付帯,5000,500,QUICPay,あり,"Apple Pay",国内主要空港,なし,可,"935円",無料,あり,なし,なし,なし,20歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,ステータス・旅行特典,年会費が高い
Oliveフレキシブルペイ ゴールド,三井住友カード,ゴールド,VISA,"5,500円",条件付,5万円～,0.5,6.5,対象のコンビニ・飲食店,上限なし,Vポイント,200円→1P,あり,利用付帯,2000,300,iD,あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,550円,なし,あり,あり,あり,高校生を除く18歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,コンビニ高還元・銀行連携,家族カードなし
Oliveフレキシブルペイ プラチナプリファード,三井住友カード,プラチナ,VISA,"33,000円",条件なし,5万円～,1.0,9.0,プリファードストア,上限なし,Vポイント,100円→1P,あり,利用付帯,5000,500,iD,あり,"Apple Pay/Google Pay",国内主要空港,あり,可,無料,550円,なし,あり,あり,あり,20歳以上,"10,000P",2025-12-31,入会+利用でポイント進呈,default.png,ポイント特化プラチナ・銀行連携,家族カードなし
セゾンゴールド・アメリカン・エキスプレス・カード,クレディセゾン,ゴールド,American Express,"11,000円",条件付,5万円～,0.75,0.75,海外利用,上限なし,永久不滅ポイント,1000円→1.5P,あり,利用付帯,5000,200,"iD/QUICPay",あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,無料,あり,あり,なし,なし,20歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,マイル・旅行特典・優待,基本還元率普通
ビックカメラSuicaカード,ビューカード,一般,VISA/JCB,"524円",条件付,～1万円,1.0,0.5,Suicaチャージ,上限なし,"JRE POINT/ビックポイント",100円→1P,あり,利用付帯,500,0,交通系,あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,可,無料,524円,なし,なし,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,Suicaチャージ高還元・ビックカメラ,家族カードなし
三菱UFJカード VIASOカード,三菱UFJニコス,一般,MasterCard,永年無料,条件なし,3万円～5万円,0.5,0.5,"携帯電話/ETC",上限なし,VIASOポイント,1000円→5P,あり,利用付帯,2000,100,"楽天Edy/モバイルSuica/nanaco",なし,"Apple Pay/Google Pay",なし,なし,可,"1,100円",無料,あり,あり,なし,なし,高校生を除く18歳以上,最大10,000円キャッシュバック,2025-12-31,入会+利用でポイント進呈,default.png,オートキャッシュバック,基本還元率低め
Tカード Prime,ジャックス,一般,MasterCard,"1,375円",条件付,～1万円,1.0,0.5,日曜日,上限なし,Vポイント,100円→1P,あり,自動付帯,2000,0,"Tマネー/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,なし,なし,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,日曜1.5%還元・旅行保険,家族カードなし
ANAカード（一般）,ANA/三井住友カード,一般,VISA/MasterCard,"2,200円",条件付,3万円～5万円,0.5,0.5,ANA特約店,上限なし,Vポイント,100円→1P,あり,自動付帯,1000,100,"iD/WAON/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,あり,なし,なし,なし,高校生を除く18歳以上,"1,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,ANAマイルが貯まる,年会費あり
JALカード（普通）,JALカード,一般,VISA/MasterCard/JCB,"2,200円",条件付,3万円～5万円,0.5,0.5,JAL特約店,上限なし,JALマイル,200円→1マイル,あり,自動付帯,1000,100,"WAON/交通系/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"1,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,JALマイルが貯まる,年会費あり
PayPayカード ゴールド,PayPayカード,ゴールド,"VISA/MasterCard/JCB","11,000円",条件なし,5万円～,1.5,0.5,PayPayステップ達成,上限なし,PayPayポイント,100円→1.5P,あり,自動付帯,10000,300,QUICPay,あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,無料,あり,あり,あり,あり,高校生を除く18歳以上,"7,000P",2025-12-31,入会+利用でポイント進呈,default.png,PayPay連携高還元・ラウンジ,年会費が高い
JCB カード S,JCB,一般,JCB,永年無料,条件なし,3万円～5万円,0.5,0.0,指定なし,上限なし,OkiDokiポイント,1000円→1P,あり,利用付帯,2000,100,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,あり,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,年会費無料・優待豊富,基本還元率低め
