カード名,発行会社,カード区分,国際ブランド,年会費（税込）,年会費条件,月々の推奨利用額,還元率_基本（%）,ボーナス還元率（%）,還元対象カテゴリ,還元上限（月額）,ポイントプログラム名,ポイント換算（円→P）,旅行保険_有無,海外旅行保険_付帯種別,海外旅行保険_最高補償額（万円）,ショッピング保険_年間補償額（万円）,電子マネー対応,タッチ決済対応,スマホ決済対応,空港ラウンジ,コンシェルジュ,ETC_可否,ETC_発行手数料,ETC_年会費,家族カード可否,即時発行,バーチャルカード対応,番号レスカード,申込対象,入会特典ポイント,入会特典有効期限,公式キャンペーン,画像ファイル名,メリット,デメリット
タカシマヤカード,高島屋クレジット,一般,"VISA/MasterCard/JCB/American Express","2,200円",条件付,～1万円,0.5,7.5,高島屋,上限なし,タカシマヤポイント,100円→8P,あり,利用付帯,2000,0,,あり,"Apple Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会特典,default.png,高島屋で高還元,年会費あり
三井ショッピングパークカード,クレディセゾン,一般,"VISA/MasterCard/JCB/American Express",永年無料,条件なし,3万円～5万円,0.5,1.5,ららぽーと等,上限なし,"永久不滅ポイント/MSP",1000円→1P,なし,なし,0,0,"iD/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,ららぽーとで高還元,基本還元率低め
MUJI Card,クレディセゾン,一般,VISA/American Express,永年無料,条件付,～1万円,0.5,1.0,無印良品,上限なし,永久不滅ポイント,1000円→1P,なし,なし,0,0,"iD/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"1,000P",2025-12-31,"入会特典+継続特典",default.png,無印良品で高還元・特典,基本還元率低め
P-one Card Standard,ポケットカード,一般,MasterCard/VISA/JCB,永年無料,条件なし,3万円～5万円,1.0,0.0,キャッシュバック,上限なし,"なし（自動1%OFF）",,なし,なし,0,0,"nanaco/楽天Edy",あり,"Apple Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"1,000P",2025-12-31,入会+利用でポイント進呈,default.png,自動1%オフ,ポイントなし
au PAY ゴールドカード,auフィナンシャルサービス,ゴールド,VISA/MasterCard,"11,000円",条件なし,5万円～,1.0,4.0,au PAY残高チャージ,上限なし,Pontaポイント,100円→1P,あり,自動付帯,10000,300,"QUICPay/WAON/交通系",あり,"Apple Pay",国内主要空港,なし,可,無料,無料,あり,あり,あり,なし,高校生を除く18歳以上,"10,000P",2025-12-31,入会+利用でポイント進呈,default.png,au系高還元・ラウンジ,年会費が高い
MileagePlusセゾンゴールドカード,クレディセゾン,ゴールド,"VISA/MasterCard/American Express","33,000円",条件なし,5万円～,1.5,0.0,指定なし,"上限あり(7.5万マイル/年)",ユナイテッド航空マイル,1000円→15マイル,あり,自動付帯,5000,200,"iD/QUICPay",あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,無料,あり,あり,なし,なし,20歳以上,"5,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,UAマイル高還元・ラウンジ,年会費が高い
デルタ スカイマイル アメックス・ゴールド,アメリカン・エキスプレス,ゴールド,American Express,"28,600円",条件なし,5万円～,1.0,2.0,デルタ航空,上限なし,スカイマイル,100円→1マイル,あり,利用付帯,10000,500,QUICPay,あり,"Apple Pay",国内+海外ラウンジ,なし,可,"935円",無料,あり,なし,なし,なし,20歳以上,"10,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,デルタ航空特典・ラウンジ,年会費が高い
UCSカード(majica),UCS,一般,VISA/MasterCard/JCB,永年無料,条件なし,3万円～5万円,0.5,1.0,majica加盟店,上限なし,Uポイント,200円→1P,なし,なし,0,100,"QUICPay/WAON",あり,"Apple Pay",なし,なし,可,"1,100円",無料,あり,なし,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,ドンキ・アピタで高還元,基本還元率低め
apollostation card,出光クレジット,一般,"VISA/MasterCard/JCB/American Express",永年無料,条件なし,3万円～5万円,0.5,0.0,ガソリン,上限なし,プラスポイント,1000円→5P,なし,なし,0,0,"iD/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"1,000P",2025-12-31,入会+利用でポイント進呈,default.png,ガソリン値引き,基本還元率低め
ENEOSカード S,トヨタファイナンス,一般,JCB/VISA,"1,375円",条件付,3万円～5万円,0.6,0.0,ガソリン,上限なし,ENEOSポイント,1000円→6P,なし,なし,0,0,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"1,000P",2025-12-31,入会+利用でポイント進呈,default.png,ガソリン値引き・年1回利用で無料,基本還元率低め
コスモ・ザ・カード・オーパス,イオンフィナンシャルサービス,一般,"VISA/MasterCard/JCB",永年無料,条件なし,3万円～5万円,0.5,0.0,ガソリン,上限なし,WAON POINT,200円→1P,なし,なし,0,50,WAON,あり,"Apple Pay/iD/AEON Pay",なし,なし,可,無料,無料,あり,あり,あり,あり,高校生を除く18歳以上,"1,000P",2025-12-31,入会+利用でポイント進呈,default.png,コスモ石油で値引き,基本還元率低め
Orico Card THE POINT PREMIUM GOLD,オリコ,ゴールド,MasterCard/JCB,"1,986円",条件なし,3万円～5万円,1.0,1.5,"オリコモール/iD/QUICPay",上限なし,オリコポイント,100円→1P,あり,利用付帯,2000,100,"QUICPay/iD",あり,"Apple Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,低年会費ゴールド・ポイント高還元,ラウンジなし
ANAアメックス・ゴールド・カード,アメリカン・エキスプレス,ゴールド,American Express,"34,100円",条件なし,5万円～,1.0,1.0,ANAグループ,上限なし,ANAマイル,100円→1マイル,あり,自動付帯,10000,500,QUICPay,あり,"Apple Pay",国内主要空港,なし,可,"935円",無料,あり,なし,なし,なし,20歳以上,"10,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,ANAマイル高還元・ラウンジ,年会費が高い
JAL・アメックス・カード,三菱UFJニコス,一般,American Express,"6,600円",条件なし,5万円～,0.5,1.0,JAL特約店,上限なし,JALマイル,200円→1マイル,あり,自動付帯,3000,100,"QUICPay/WAON",あり,"Apple Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,20歳以上,"3,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,JALマイルが貯まる,年会費が高い
P-one Wiz,ポケットカード,一般,MasterCard/VISA/JCB,永年無料,条件なし,3万円～5万円,1.0,0.5,Tポイント,上限なし,ポケット・ポイント,1000円→1P,なし,なし,0,100,"nanaco/楽天Edy",あり,"Apple Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,自動1%オフ+Tポイント,リボ払い専用
REXカード,ジャックス,一般,VISA/MasterCard,永年無料,条件なし,5万円～,1.25,0.0,指定なし,上限なし,REX POINT,100円→1.25P,あり,利用付帯,2000,100,"nanaco/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,常時1.25%高還元,ポイント交換先限定
AOYAMA ライフマスターカード,ライフカード,一般,MasterCard/VISA,"1,375円",条件付,～1万円,0.5,1.5,洋服の青山,上限なし,AOYAMAポイント,200円→1P,なし,なし,0,0,"iD/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"3,000円割引券",2025-12-31,入会特典,default.png,青山で常時5%オフ,基本還元率低め
PARCOカード,クレディセゾン,一般,"VISA/MasterCard/JCB/American Express",永年無料,条件なし,～1万円,0.5,6.5,PARCO,上限なし,"永久不滅ポイント/PARCOポイント",1000円→1P,なし,なし,0,0,"iD/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会+利用でポイント進呈,default.png,PARCOで高還元,基本還元率低め
みずほマイレージクラブカード ゴールド,みずほ銀行/クレディセゾン,ゴールド,"VISA/MasterCard/JCB/American Express","11,000円",条件なし,5万円～,0.5,0.0,指定なし,上限なし,永久不滅ポイント,1000円→1P,あり,自動付帯,5000,300,"QUICPay/iD",あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,無料,あり,あり,なし,なし,20歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,銀行連携・ラウンジ,基本還元率低め
三菱UFJカード ゴールドプレステージ,三菱UFJニコス,ゴールド,"VISA/MasterCard/JCB/American Express","11,000円",条件付,5万円～,0.5,6.5,対象のコンビニ・飲食店,上限なし,グローバルポイント,100円→1P,あり,自動付帯,5000,300,QUICPay,あり,"Apple Pay/Google Pay",国内主要空港,なし,可,"1,100円",無料,あり,あり,なし,なし,20歳以上,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,コンビニ高還元・ラウンジ,基本還元率低め
三井住友カード プライムゴールド,三井住友カード,ゴールド,VISA/MasterCard,"5,500円",条件付,3万円～5万円,0.5,6.5,対象のコンビニ・飲食店,上限なし,Vポイント,200円→1P,あり,利用付帯,5000,300,"iD/WAON",あり,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,550円,あり,あり,なし,あり,20代限定,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,20代向けゴールド・コンビニ高還元,30歳でゴールド切替
ACマスターカード,アコム,一般,MasterCard,永年無料,条件なし,～1万円,0.25,0.0,キャッシュバック,上限なし,"なし（自動キャッシュバック）",,なし,なし,0,0,,あり,"Apple Pay/Google Pay",なし,なし,なし,,,あり,あり,なし,なし,20歳以上,なし,,,default.png,即日発行・年会費無料,リボ払い専用・低還元
プロミスVisaカード,三井住友カード,一般,VISA,永年無料,条件なし,～1万円,0.5,6.5,対象のコンビニ・飲食店,上限なし,Vポイント,200円→1P,なし,なし,0,0,iD,あり,"Apple Pay/Google Pay",なし,なし,可,無料,550円,なし,あり,なし,あり,高校生を除く18歳以上,最大1,000円分Vポイントギフト,,,default.png,ローン機能付き・コンビニ高還元,家族カードなし
ジャックスカード,ジャックス,一般,VISA/MasterCard/JCB,"1,375円",条件付,3万円～5万円,0.5,0.15,年間利用額,上限なし,ラブリィポイント,200円→1P,なし,なし,0,0,"nanaco/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"1,000P",2025-12-31,入会+利用でポイント進呈,default.png,JACCSモールで高還元,基本還元率低め
ZOZOカード,ポケットカード,一般,MasterCard/JCB,永年無料,条件なし,～1万円,1.0,4.0,ZOZOTOWN,上限なし,ZOZOポイント,100円→1P,なし,なし,0,100,,あり,"Apple Pay",なし,なし,可,無料,無料,なし,あり,なし,なし,高校生を除く18歳以上,"2,000P",2025-12-31,入会特典,default.png,ZOZOTOWNで5%還元,ポイント用途限定
Reader's Card,ジャックス,一般,MasterCard,"2,750円",条件付,5万円～,1.0,0.5,JACCSモール,上限なし,Reader's Cardポイント,1000円→10P,あり,利用付帯,2000,0,"nanaco/楽天Edy",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"3,000P",2025-12-31,入会+利用でポイント進呈,default.png,常時1.0%還元,年会費条件あり
JCB LINDA,JCB,一般,JCB,永年無料,条件付,～1万円,0.5,1.0,年間利用額,上限なし,OkiDokiポイント,1000円→1P,あり,利用付帯,2000,100,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,"18歳以上女性(高校生除く)","1,000P",2025-12-31,入会+利用でポイント進呈,default.png,女性向け特典・選べるデザイン,データ維持料あり
ソラチカゴールドカード,JCB/東京メトロ,ゴールド,JCB,"15,400円",条件なし,5万円～,1.0,0.5,ANA/メトロ,上限なし,"OkiDokiポイント/メトロポイント",100円→1マイル,あり,自動付帯,10000,500,"交通系/QUICPay",あり,"Apple Pay/Google Pay/おサイフケータイ",国内主要空港,なし,可,無料,無料,あり,なし,なし,なし,20歳以上,"2,000マイル",2025-12-31,入会+利用でポイント進呈,default.png,ANAマイル高還元・メトロ乗車,年会費が高い
小田急 OPクレジットカード,小田急電鉄/JCB/VISA,一般,JCB/VISA,"550円",条件付,～1万円,0.5,9.5,小田急ポイント加盟店,上限なし,小田急ポイント,200円→1P,なし,なし,0,0,"交通系/QUICPay",あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,なし,なし,なし,高校生を除く18歳以上,"1,000P",2025-12-31,入会+利用でポイント進呈,default.png,PASMOオートチャージ・小田急系高還元,基本還元率低め
ルミネカード,"ビューカード","一般","VISA/MasterCard/JCB","1,048円","条件付 (初年度無料)","～1万円",0.5,4.5,"ルミネ・ニュウマン","上限なし","JRE POINT","100円→0.5P (一般加盟店)","あり","利用付帯",500,0,"交通系/QUICPay","あり","Apple Pay/Google Pay/おサイフケータイ","なし","なし","可","無料","524円","あり","なし","なし","なし","高校生を除く18歳以上","2,000P","2025-12-31","入会+利用でポイント進呈","default.png","ルミネ・ニュウマンで常時5%オフ, Suicaオートチャージ対応","基本還元率低め, ルミネを使わないとメリット薄い"
エポスカード","エポスカード","一般","VISA","永年無料","条件なし","3万円～5万円",0.5,0,"指定なし","上限なし","エポスポイント","200円→1P","あり","自動付帯",1000,0,"楽天Edy/モバイルSuica/QUICPay","あり","Apple Pay/Google Pay/楽天ペイ","なし","なし","可","無料","550円","あり","あり","あり","なし","高校生を除く18歳以上","2,000P","2025-12-31","入会+利用でポイント進呈","default.png","海外旅行保険が自動付帯, 全国10,000店以上で優待あり","基本還元率が低め, ETC年会費が有料"
PayPayカード ゴールド","PayPayカード","ゴールド","VISA/MasterCard/JCB","11,000円","条件なし","5万円～",1.5,0.5,"PayPayステップ達成","上限なし","PayPayポイント","100円→1.5P","あり","自動付帯",10000,300,"QUICPay","あり","Apple Pay/Google Pay","国内主要空港","なし","可","無料","無料","あり","あり","あり","あり","高校生を除く18歳以上","7,000P","2025-12-31","入会+利用でポイント進呈","default.png","PayPay残高チャージ不要, スマホ保険・ラウンジ特典付き","年会費が高い, 旅行保険は国内利用付帯"
ビックカメラSuicaカード","ビューカード","一般","VISA/JCB","524円","条件付 (年1回利用で無料)","～1万円",1.0,0.5,"Suicaチャージ・ビックカメラ","上限なし","JRE POINT/ビックポイント","100円→1P","あり","利用付帯",500,0,"交通系","あり","Apple Pay/Google Pay/おサイフケータイ","なし","なし","可","無料","524円","なし","なし","なし","なし","高校生を除く18歳以上","2,000P","2025-12-31","入会+利用でポイント進呈","default.png","Suicaチャージで1.5%還元, ビックカメラで最大11.5%還元","家族カードなし, 海外旅行保険の補償額が低い"
メルカード,"メルペイ","一般","JCB","永年無料","条件なし","～1万円",1.0,3.0,"メルカリでの購入","上限あり(利用状況による)","メルカリポイント","100円→1P","なし","なし",0,0,"","あり","Apple Pay","なし","なし","不可","","","なし","あり","あり","あり","メルカリアプリ利用者","","","メルカリでの利用で高還元","default.png","メルカリ利用に特化, ポイント還元上限あり","旅行保険なし"
セブンカード・プラス,"セブン・カードサービス","一般","VISA/JCB","永年無料","条件なし","～1万円",0.5,0.5,"セブン&アイグループ","上限なし","nanacoポイント","200円→1P","あり","利用付帯",1000,100,"nanaco","あり","Apple Pay/Google Pay/QUICPay","なし","なし","可","無料","無料","あり","なし","なし","あり","高校生を除く18歳以上","最大5,000nanacoポイント","2025-12-31","入会+利用でポイント進呈","default.png","セブン&アイグループで高還元, nanacoオートチャージ対応","基本還元率が低い"
ダイナースクラブカード,"三井住友信託クラブ","プラチナ","Diners","24,200円","条件なし","5万円～",1.0,0.0,"指定なし","上限なし","ダイナースクラブ リワードポイント","100円→1P","あり","自動付帯",10000,500,"","あり","Apple Pay/Google Pay","国内+海外ラウンジ","あり","可","無料","無料","あり","なし","なし","なし","27歳以上","","","グルメ・トラベル優待多数, 高いステータス","年会費が高い, 加盟店が少ない"
JALカード TOKYU POINT ClubQ,"JALカード/東急カード","一般","VISA/MasterCard","2,200円","条件付 (初年度無料)","3万円～5万円",0.5,0.5,"JAL/東急グループ","上限なし","JALマイル/TOKYU POINT","200円→1マイル","あり","自動付帯",1000,100,"交通系/WAON","あり","Apple Pay/Google Pay/PASMOオートチャージ","なし","なし","可","無料","無料","あり","なし","なし","なし","高校生を除く18歳以上","最大3,000マイル","2025-12-31","入会+利用でマイル進呈","default.png","JALマイルとTOKYU POINTが貯まる, PASMOオートチャージ","基本還元率が低い"
ANA VISA Suicaカード,"三井住友カード/JR東日本","一般","VISA","2,200円","条件付 (初年度無料)","3万円～5万円",0.5,0.5,"ANA/Suicaチャージ","上限なし","Vポイント/ANAマイル","100円→1P","あり","自動付帯",1000,100,"交通系/iD","あり","Apple Pay/Google Pay/Suicaオートチャージ","なし","なし","可","無料","524円","あり","なし","なし","なし","高校生を除く18歳以上","最大2,000マイル","2025-12-31","入会+利用でマイル進呈","default.png","ANAマイルとSuicaが一体化, オートチャージ対応","基本還元率が低い, ETC年会費"
ミライノカード,"住信SBIネット銀行","一般","MasterCard","990円","条件付 (初年度無料)","3万円～5万円",0.5,0.5,"指定なし","上限なし","ミライノポイント","1000円→5P","あり","利用付帯",2000,0,"","あり","Apple Pay/Google Pay/QUICPay","なし","なし","可","無料","無料","あり","なし","なし","なし","高校生を除く18歳以上","最大5,000円相当","2025-12-31","入会+利用でポイント進呈","default.png","スマプロランクアップ対象, 年10万円利用で年会費無料","基本還元率が低い"
ヤマダLABI ANAマイレージクラブカード,"クレディセゾン","一般","VISA/MasterCard/JCB/American Express","550円","条件付 (初年度無料)","～1万円",0.5,9.5,"ヤマダデンキ","上限なし","永久不滅ポイント/ヤマダポイント","1000円→1P","なし","なし",0,0,"","あり","Apple Pay/Google Pay","なし","なし","可","1,100円","1,100円","あり","あり","なし","なし","高校生を除く18歳以上","最大3,000円分ポイント","2025-12-31","入会+利用でポイント進呈","default.png","ヤマダデンキで最大10%還元","基本還元率が低い, ETC有料"
ラグジュアリーカード チタン,"アプラス","プラチナ","MasterCard","55,000円","条件なし","5万円～",1.0,1.0,"指定なし","上限なし","ラグジュアリーカードポイント","100円→1P","あり","自動付帯",10000,300,"","あり","Apple Pay/Google Pay/QUICPay","国内+海外ラウンジ","あり","可","無料","無料","あり","なし","なし","あり","20歳以上","","","金属製カード, コンシェルジュ品質, 映画優待","年会費が非常に高い"
出光カードまいどプラス,"出光クレジット","一般","VISA/MasterCard/JCB/American Express","永年無料","条件なし","3万円～5万円",0.5,0.0,"ガソリン","上限なし","プラスポイント","1000円→5P","なし","なし",0,0,"iD/QUICPay","あり","Apple Pay/Google Pay","なし","なし","可","無料","無料","あり","あり","なし","なし","高校生を除く18歳以上","","","いつでもガソリン2円/L引き, 年会費無料","基本還元率が低い"
ファミマTカード,"ポケットカード","一般","JCB","永年無料","条件なし","～1万円",0.5,1.5,"ファミリーマート","上限なし","Vポイント","200円→1P","なし","なし",0,0,"Tマネー","あり","Apple Pay","なし","なし","可","無料","無料","あり","あり","なし","なし","高校生を除く18歳以上","最大2,000ポイント","2025-12-31","入会+利用でポイント進呈","default.png","ファミリーマートで高還元, 公共料金支払い可能","基本還元率が低い"
ローソンPontaプラス,"ローソン銀行","一般","MasterCard","永年無料","条件なし","～1万円",0.5,5.5,"ローソン","上限なし","Pontaポイント","200円→1P","なし","なし",0,0,"","あり","Apple Pay","なし","なし","可","1,100円","1,100円","あり","なし","なし","なし","高校生を除く18歳以上","最大3,000Pontaポイント","2025-12-31","入会+利用でポイント進呈","default.png","ローソンで最大6%還元","基本還元率が低い, ETC有料"
JCBゴールド,"JCB","ゴールド","JCB","11,000円","条件付 (初年度無料)","5万円～",0.5,2.0,"JCB STAR MEMBERS","上限なし","OkiDokiポイント","1000円→1P","あり","自動付帯",10000,500,"QUICPay","あり","Apple Pay/Google Pay","国内主要空港","なし","可","無料","無料","あり","あり","なし","あり","20歳以上","最大20,000円キャッシュバック","2025-12-31","入会+利用でキャッシュバック","default.png","保険充実, ラウンジ, JCBゴールド ザ・プレミアへの招待","基本還元率が低い"
三井住友カード プラチナプリファード,"三井住友カード","プラチナ","VISA","33,000円","条件なし","5万円～",1.0,9.0,"プリファードストア","上限なし","Vポイント","100円→1P","あり","自動付帯",5000,500,"iD/WAON","あり","Apple Pay/Google Pay","国内主要空港","あり","可","無料","550円","あり","あり","なし","あり","20歳以上","最大10,000ポイント","2025-12-31","入会+利用でポイント進呈","default.png","ポイント特化型プラチナ, 特約店で高還元","年会費が高い, ETC年会費"
イオン Suicaカード,"イオンフィナンシャルサービス","一般","VISA/MasterCard/JCB","永年無料","条件なし","3万円～5万円",0.5,0.5,"イオングループ","上限なし","WAON POINT/JRE POINT","200円→1P","なし","なし",0,50,"WAON/交通系","あり","Apple Pay/iD/Suicaオートチャージ","なし","なし","可","無料","無料","なし","なし","なし","なし","高校生を除く18歳以上","最大3,000ポイント","2025-12-31","入会+利用でポイント進呈","default.png","Suicaオートチャージ対応, イオンで特典あり","旅行保険なし, 家族カードなし"
JAL CLUB-Aゴールドカード,"JALカード","ゴールド","VISA/MasterCard/JCB","17,600円","条件なし","5万円～",0.5,1.0,"JAL特約店","上限なし","JALマイル","100円→1マイル","あり","自動付帯",5000,300,"WAON/交通系/QUICPay","あり","Apple Pay/Google Pay","国内主要空港","なし","可","無料","無料","あり","なし","なし","なし","20歳以上","最大5,000マイル","2025-12-31","入会+利用でマイル進呈","default.png","フライトマイルボーナス, ショッピングマイル・プレミアム自動付帯","年会費が高い, ポイントの有効期限に注意"